grp,mic_id,mean_condval,mean_consd
cat,amoxicillin_clavulanic_acid,-0.08622954261891906,0.06811040750244254
horse,amoxicillin_clavulanic_acid,0.0165337601052993,0.10497335421587127
dog,amoxicillin_clavulanic_acid,0.0730607443825017,0.06074413562567501
cat,chloramphenicol,-0.12829974552884882,0.14343035719222563
horse,chloramphenicol,0.047904607256063915,0.14271964203590995
dog,chloramphenicol,0.08649934115525967,0.13711456904912556
cattle,chlortetracycline,-0.1816956241108489,0.10976379133899275
swine,chlortetracycline,0.17830747072288922,0.14497619305479206
cat,doxycycline,-0.001231156361111176,0.01661425078487975
horse,doxycycline,-0.0041880051947921606,0.01649741168493355
dog,doxycycline,0.005452825163450168,0.016508118487471843
cat,florfenicol,-0.028937421814492548,0.3011163637588534
chicken,florfenicol,-0.1707211553249808,0.13672948820735387
cattle,florfenicol,0.48330206591790537,0.07771934293273289
turkey,florfenicol,-0.16651405048588105,0.19451472032191083
swine,florfenicol,-0.0794429100581445,0.12806497311220313
cat,gentamicin,-0.31588628166810434,0.1974503895451694
horse,gentamicin,0.07057124643007058,0.1900695618568388
dog,gentamicin,-0.23033130386781703,0.1876944802007152
chicken,gentamicin,0.06946944309014866,0.20425029235513975
cattle,gentamicin,0.06144079515149351,0.17271297899619992
turkey,gentamicin,0.07147148038753309,0.24428604439774698
swine,gentamicin,0.3158566667782581,0.1980579785163244
cat,neomycin,-0.003793949850891046,0.10263300549728559
chicken,neomycin,-0.09927128987803514,0.08277853891957189
cattle,neomycin,0.031199598825167704,0.06942477542725428
turkey,neomycin,0.06968354887143186,0.09221944001777448
swine,neomycin,0.007346347720114241,0.08030596447132159
cat,oxytetracycline,0.008454090910105252,0.7736626529927483
chicken,oxytetracycline,-1.1036483509116108,0.2580484419707328
cattle,oxytetracycline,0.08894325733190209,0.24607386315605606
turkey,oxytetracycline,0.14306667356772212,0.3582939026359222
swine,oxytetracycline,0.856088351697657,0.35409762815743356
cat,spectinomycin,0,0
chicken,spectinomycin,0,0
cattle,spectinomycin,0,0
turkey,spectinomycin,0,0
swine,spectinomycin,0,0
cat,streptomycin,-0.04424936186777029,0.738073187650608
chicken,streptomycin,0.7110211289770968,0.25070717234047657
turkey,streptomycin,-0.6162361539400435,0.4187446058251316
cat,sulphadimethoxine,-0.12881218206622713,0.568956044555143
chicken,sulphadimethoxine,-0.8161350555648041,0.23299750935409755
cattle,sulphadimethoxine,0.2588689744870198,0.17111195353565836
turkey,sulphadimethoxine,0.14385072830701798,0.32442089766922777
swine,sulphadimethoxine,0.5597201172212424,0.22326230033939393
cat,sulphathiazole,-0.05607642314755179,0.3252894440640713
chicken,sulphathiazole,-0.26971742354768763,0.12788287975417192
turkey,sulphathiazole,0.34087088205921123,0.1653913553529833
cat,tetracycline,-1.1884262445698104,0.25757951841583226
horse,tetracycline,-0.5255033811853741,0.21803848916250831
dog,tetracycline,-0.6527483220818526,0.2081025086477594
chicken,tetracycline,-0.09398334564847778,0.23238552685317213
cattle,tetracycline,0.7897642162808916,0.2637390517861834
turkey,tetracycline,0.7815713812160442,0.3605701551380133
swine,tetracycline,0.9403783469075861,0.32311868231921165
cat,trimethoprim_sulfamethoxazole,-1.109392871673285,0.36203580356499127
horse,trimethoprim_sulfamethoxazole,0.993613902331311,0.2086876746614476
dog,trimethoprim_sulfamethoxazole,-0.19747521340478294,0.2538197441984005
chicken,trimethoprim_sulfamethoxazole,-0.5275681008552083,0.35773117084511624
cattle,trimethoprim_sulfamethoxazole,0.9946891054212286,0.17406160011492117
turkey,trimethoprim_sulfamethoxazole,-0.6258261023088889,0.5267016242469947
swine,trimethoprim_sulfamethoxazole,0.6642084554272017,0.2546645861097869
